mjd	F5100	F5100err	F4265	F4265err	F3750	F3750err	Halpha	Halphaerr	Hbeta	Hbetaerr	HeII4686	HeII4686err	HeI4471	HeI4471err	HeI5876	HeI5876err	dataset
52651.0	1.13800	0.03700	1.25200	0.42100	2.55900	0.89400	823.40000	1.77400	200.01800	1.32100	37.34900	1.37100	8.32000	1.13400	27.57400	1.19100	FAST-RM1
52664.0	1.17500	0.03800	1.02100	0.44000	1.74300	1.03200	784.37700	1.67100	190.83600	1.35300	25.82800	1.38700	10.19100	1.14300	30.67400	1.17700	FAST-RM1
52669.0	0.95000	0.03300	0.79700	0.37200	1.82700	0.90900	823.66000	1.70700	176.02500	1.20300	8.36900	1.19700	7.15700	0.99000	20.90500	1.08600	FAST-RM1
52675.0	1.02200	0.04000	0.82200	0.48900	1.32500	1.10900	802.25400	1.87400	169.35900	1.41000	14.97000	1.50100	9.43400	1.26300	17.75400	1.30300	FAST-RM1
52679.0	0.95200	0.02500	0.82100	0.29300	1.55300	0.61600	834.54600	1.27200	156.71500	0.90900	12.66100	0.92800	5.99700	0.78400	27.70800	0.78000	FAST-RM1
52691.0	0.85800	0.02200	0.77400	0.25600	1.17800	0.54500	722.81100	1.20600	130.76600	0.80900	15.57600	0.81800	2.09300	0.67400	22.81200	0.73500	FAST-RM1
52700.0	1.27500	0.04300	1.53000	0.61600	1.48800	1.33900	577.79700	1.63800	111.42000	1.43500	13.77400	1.68300	2.09100	1.47200	10.94400	1.42000	FAST-RM1
52704.0	0.89600	0.02300	0.75100	0.25100	1.00100	0.54200	736.14800	1.23500	142.17100	0.85100	14.57900	0.83000	4.08800	0.68600	15.65700	0.70700	FAST-RM1
52722.0	0.89600	0.06100	0.57800	0.74200	1.38900	1.90400	598.05900	2.38400	110.58700	2.03200	10.35200	2.30100	10.67600	1.94600	18.11700	1.88200	FAST-RM1
52728.0	0.80800	0.02300	0.75800	0.26500	0.99100	0.55300	615.40700	1.16500	105.38000	0.81600	16.79500	0.85400	4.53400	0.70400	11.83500	0.75900	FAST-RM1
52731.0	0.94000	0.04300	0.67400	0.54300	1.30100	1.47700	586.61700	1.65000	110.38100	1.42800	27.19100	1.61700	7.99800	1.37700	-1.36700	1.25800	FAST-RM1
52737.0	1.10200	0.05500	0.88100	0.75800	1.32100	1.70200	544.44200	1.85300	93.65900	1.75500	-1.73500	2.03600	3.75300	1.79500	21.00500	1.68300	FAST-RM1
52752.0	0.85800	0.03600	0.73700	0.47300	1.17300	1.06000	621.58200	1.54300	107.63300	1.21500	7.07900	1.33000	-1.94300	1.15100	3.40300	1.16700	FAST-RM1
52760.0	0.81700	0.02500	0.66000	0.28800	1.04700	0.64900	602.05800	1.24700	108.92100	0.91700	10.00100	0.92700	4.69500	0.76900	14.43300	0.81000	FAST-RM1
52766.0	0.78300	0.03700	0.94100	0.51100	0.97000	1.11800	620.00600	1.52600	104.23800	1.22700	6.21100	1.34800	5.96900	1.20200	16.50600	1.16100	FAST-RM1
52779.0	0.73800	0.03500	0.74800	0.52900	1.22700	1.11500	598.39100	1.46800	101.60400	1.25600	14.41700	1.45800	-0.44100	1.29200	17.27000	1.04000	FAST-RM1
52785.0	0.81700	0.03600	0.95900	0.51000	0.75500	1.20900	577.62000	1.43800	107.15500	1.20400	17.26500	1.33400	-4.37500	1.18600	10.09800	1.15300	FAST-RM1
